key,operator,year,private,state,regulated,fare_income_million,other_income_million,total_income,staff_costs_millions,diesel_costs_millions,rolling_stock_costs,other_costs,total_costs,subsidy,net_total,ftee,avg_staff_cost_per_staff,passenger_km_billions,passenger_journeys_millions,train_km_millions,route_km,vehicle_km_millions,LEN,stations_managed,age_rollingstock,mean_routekm,mean_trainkm_millions,mean_vehiclekm_millions,mean_avgstaffcost,mean_passkm_million,mean_agers,mean_tc,mean_LEN,ROUTE,TDEN,TLEN,logtc,INP,TDEN2,STATI2,TLEN2,TIME,TIME2,DENSTATI,TDENLEN,STATILN,LFAC,LNAGE,efficiencyu_score,efficiency_score,frontier_output,bigT,yearT,covid
10,London_Overground,2017,0,0,1,285.21,23.12,308.33,121.99,0.62,45.6,220.26,388.47,86.26,6.12,1440,84714.62,1.3,189.76,8.18,167,46.69,6,81,15.68,169,10,48,89856,1,12,411,5,0,0,0,0,0,0,6561,0,3,9,-970,0,828,0,0,0,0,0,2023,-6,0
10,London_Overground,2018,0,0,1,276.34,40.14,316.48,131.5,0.9,49.29,239.32,421.01,111.27,6.73,1451,90625,1.29,188.06,8.71,167,49.04,6,81,16.99,169,10,48,89856,1,12,411,5,0,0,0,0,0,0,6561,0,4,16,-561,0,742,0,0,0,0,0,2023,-5,0
10,London_Overground,2019,0,0,1,274.97,53.16,328.13,134.85,0.04,39.45,215.05,389.4,68.87,7.59,1502,89780.66,1.27,186.04,10.74,167,49.32,5,81,18.39,169,10,48,89856,1,12,411,5,0,0,0,0,0,0,6561,0,5,25,813,0,-595,0,0,0,0,0,2023,-4,0
10,London_Overground,2020,0,0,1,89.6,26.85,116.45,145.95,0,42.65,210.29,398.9,288.16,5.72,1534,95143.12,0.4,59.2,9.45,167,42.88,5,81,6.78,169,10,48,89856,1,12,411,5,0,0,0,0,0,0,6561,0,6,36,-29,0,-672,-1,-1,0,0,0,2023,-3,1
10,London_Overground,2021,0,0,1,198,24.32,222.31,143.61,0,43.97,232.55,420.12,203.62,5.81,1529,93923.14,0.86,126.89,11.04,167,47.9,4,81,7.63,169,10,48,89856,1,12,411,5,0,0,0,0,0,0,6561,0,7,49,993,0,-968,0,0,0,0,0,2023,-2,0
10,London_Overground,2022,0,0,1,226.25,29.14,255.39,136.02,0,40.69,220.31,397.03,149.35,7.71,1505,90381.72,1.08,157.07,10.67,174,51.15,5,82,8.63,169,10,48,89856,1,12,411,5,0,0,0,0,0,0,6724,0,8,64,540,0,-323,0,0,0,0,0,2023,-1,0
10,London_Overground,2023,0,0,1,247.46,21.28,268.74,137.68,0,19.07,281.43,438.19,179.53,10.09,1506,91420.15,1.25,181.39,11.31,174,54.05,5,82,9.63,169,10,48,89856,1,12,411,5,0,0,0,0,0,0,6724,0,9,81,928,0,-341,0,0,0,0,0,2023,0,0
11,Merseyrail,2015,0,0,1,62.41,30.33,92.74,72.33,0,15.93,93.64,181.9,108.75,19.59,1288,56158.62,0.58,43.39,6.63,121,22.81,3,66,37.25,121,6,22,57526,0,35,184,4,0,0,0,0,0,0,4356,0,1,1,454,0,-234,0,0,0,0,0,2023,-8,0
11,Merseyrail,2016,0,0,1,59.85,23.58,83.44,74.92,0,15.87,77.77,168.56,104.45,19.32,1325,56543.53,0.6,42.83,6.34,121,22.39,4,66,37.34,121,6,22,57526,0,35,184,4,0,0,0,0,0,0,4356,0,2,4,262,0,-121,0,0,0,0,0,2023,-7,0
11,Merseyrail,2017,0,0,1,61.41,22.25,83.66,72.53,0,15.58,82.15,170.26,105.42,18.82,1185,61209.91,0.55,40.94,6.07,121,21.8,4,66,38.58,121,6,22,57526,0,35,184,4,0,0,0,0,0,0,4356,0,3,9,71,0,-48,0,0,0,0,0,2023,-6,0
11,Merseyrail,2018,0,0,1,62.02,24.05,86.07,69.16,0,15.39,93.78,178.32,111.23,18.98,1206,57343.8,0.55,42.1,6.38,121,22.57,4,66,39.58,121,6,22,57526,0,35,184,4,0,0,0,0,0,0,4356,0,4,16,284,0,-108,0,0,0,0,0,2023,-5,0
11,Merseyrail,2019,0,0,1,60.17,28.03,88.21,72.1,0,15.52,110.78,198.4,128.67,18.48,1168,61726.53,0.56,30.64,6.49,121,22.32,3,66,40.58,121,6,22,57526,0,35,184,4,0,0,0,0,0,0,4356,0,5,25,362,0,-235,0,0,0,0,0,2023,-4,0
11,Merseyrail,2020,0,0,1,17.57,22.62,40.19,70.88,0,15.33,93.95,180.17,129.52,-10.46,1129,62812.86,0.17,9.02,4.3,121,19.31,4,66,41.59,121,6,22,57526,0,35,184,4,0,0,0,0,0,0,4356,0,6,36,-1437,0,932,-1,0,0,0,0,2023,-3,1
11,Merseyrail,2021,0,0,1,41.17,31.98,73.15,60.85,0,14.53,117.68,193.06,126.58,6.67,1149,52983.89,0.38,21.04,5.4,121,21.83,4,66,42.57,121,6,22,57526,0,35,184,4,0,0,0,0,0,0,4356,0,7,49,-440,0,469,0,0,0,0,0,2023,-2,0
11,Merseyrail,2022,0,0,1,41.15,35.98,77.13,63.32,0,13.88,114.07,191.27,129.29,15.15,1225,51693.8,0.45,25.5,6.02,121,20.33,3,66,21.67,121,6,22,57526,0,35,184,4,0,0,0,0,0,0,4356,0,8,64,32,0,-312,0,0,0,0,0,2023,-1,0
11,Merseyrail,2023,0,0,1,45.24,26,71.24,68.01,0,13.83,108.59,190.44,154.49,35.29,1188,57265.3,0.51,28.28,6.2,122,22.01,4,67,13.78,121,6,22,57526,0,35,184,4,0,0,0,0,0,0,4489,0,9,81,120,0,-101,0,-1,0,0,0,2023,0,0
12,Northern,2015,0,0,1,338.22,75.42,413.64,324.59,40.7,102,251.91,719.2,332.55,26.99,5301,61231.66,2.32,97.42,46.18,2734,125.24,3,464,27.23,3002,48,137,62135,2,25,938,3,0,0,0,0,0,0,215296,0,1,1,13556,0,-12631,0,0,0,0,0,2023,-8,0
12,Northern,2016,0,0,1,388.25,54.44,442.69,348.6,34.34,131.83,277.76,792.54,370.12,20.27,5687,61298.14,2.63,107.7,48.79,2800,136.3,3,476,27.58,3002,48,137,62135,2,25,938,3,0,0,0,0,0,0,226576,0,2,4,21331,0,-6584,0,0,0,0,0,2023,-7,0
12,Northern,2017,0,0,1,377.88,57.86,435.74,357.97,32.14,137.23,255.36,782.71,360.52,13.55,5837,61328.03,2.59,103.32,46.46,2800,129.6,3,476,28.49,3002,48,137,62135,2,25,938,3,0,0,0,0,0,0,226576,0,3,9,10218,0,-6886,0,0,0,0,0,2023,-6,0
12,Northern,2018,0,0,1,376.15,80.39,456.54,386.27,33.55,147.9,341.82,909.53,428.29,-24.7,6183,62472.99,2.58,101.34,48.52,2800,136.85,3,478,28.55,3002,48,137,62135,2,25,938,3,0,0,0,0,0,0,228484,0,4,16,20260,0,-4468,0,0,0,0,0,2023,-5,0
12,Northern,2019,0,0,1,408.21,74.33,482.54,425.73,37.36,166.38,464.4,1093.86,470.65,-140.68,6351,67034.09,2.89,107.99,56.41,3194,157.46,3,476,21.42,3002,48,137,62135,2,25,938,3,0,0,0,0,0,0,226576,0,5,25,24394,0,-6763,0,0,0,0,0,2023,-4,0
12,Northern,2020,0,1,0,91.41,44.56,135.97,431.56,21.1,198.2,393.12,1043.98,915.91,7.9,6666,64741.16,0.59,21.91,39.79,3197,120.28,3,477,21.4,3002,48,137,62135,2,25,938,3,0,0,0,0,0,0,227529,0,6,36,-55084,0,11321,-1,0,0,0,0,2023,-3,1
12,Northern,2021,0,1,0,291.97,68.28,360.25,437.36,38.6,201.47,413.61,1091.03,739.78,9,6854,63810.29,2,67.49,48.72,3158,145.21,3,465,21.89,3002,48,137,62135,2,25,938,3,0,0,0,0,0,0,216225,0,7,49,-5963,0,7736,0,0,0,0,0,2023,-2,0
12,Northern,2022,0,1,0,335.76,19.06,354.82,400.42,54.95,193.82,333.41,982.6,636.42,8.64,6912,57930.7,2.47,81.36,44.37,3158,133.91,3,465,23.09,3002,48,137,62135,2,25,938,3,0,0,0,0,0,0,216225,0,8,64,-26202,0,10460,0,0,0,0,0,2023,-1,0
